Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
3.578m,113.924444m,122.616291m
3.594m,113.870203m,122.363567m
3.609m,113.823712m,122.013688m
3.625m,113.72596m,121.612549m
3.641m,113.700926m,121.115744m
3.656m,113.64907m,120.603144m
3.672m,113.576651m,120.00531m
3.688m,113.542974m,119.333565m
3.703m,113.479197m,118.644238m
3.719m,113.449693m,117.846727m
3.734m,113.3883m,117.1121m
3.750m,113.328993m,116.378069m
3.766m,113.319755m,115.597248m
3.781m,113.277137m,114.844143m
3.797m,113.252103m,114.121437m
3.812m,113.235712m,113.455057m
3.828m,113.205612m,112.777352m
3.844m,113.219917m,112.174153m
3.859m,113.198757m,111.602545m
3.875m,113.172233m,111.056268m
3.891m,113.176703m,110.619068m
3.906m,113.165677m,110.227764m
3.922m,113.169849m,109.947622m
3.938m,113.168657m,109.750628m
3.953m,113.153756m,109.621286m
3.969m,113.166869m,109.589398m
3.984m,113.198459m,109.606087m
4.000m,113.216937m,109.724402m
4.016m,113.254488m,109.860003m
4.031m,113.300681m,110.049248m
4.047m,113.33406m,110.394657m
4.063m,113.350749m,110.782385m
4.078m,113.392472m,111.176968m
4.094m,113.433003m,111.64546m
4.109m,113.461912m,112.192631m
4.125m,113.51496m,112.724602m
4.141m,113.540292m,113.273561m
4.156m,113.603771m,113.838613m
4.172m,113.64758m,114.388168m
4.188m,113.702416m,114.927292m
4.203m,113.795996m,115.489662m
4.219m,113.8255m,116.057694m
4.234m,113.911033m,116.521716m
4.250m,114.003122m,116.987824m
4.266m,114.068091m,117.460787m
4.281m,114.16167m,117.858052m
4.297m,114.218295m,118.218362m
4.313m,114.28386m,118.540823m
4.328m,114.350319m,118.838847m
4.344m,114.36373m,119.124353m
4.359m,114.417672m,119.328499m
4.375m,114.497542m,119.459033m
4.391m,114.537179m,119.493902m
4.406m,114.597082m,119.433999m
4.422m,114.654899m,119.394064m
4.438m,114.682317m,119.278729m
4.453m,114.737451m,119.095445m
4.469m,114.797056m,118.844807m
4.484m,114.82954m,118.541121m
4.500m,114.859045m,118.259788m
4.516m,114.918351m,117.856562m
4.531m,114.983618m,117.420554m
4.547m,114.999115m,116.991401m
4.562m,115.029812m,116.511285m
4.578m,115.064383m,116.074085m
4.594m,115.087926m,115.638971m
4.609m,115.101039m,115.200281m
4.625m,115.100443m,114.773512m
4.641m,115.151405m,114.327371m
4.656m,115.136802m,113.910735m
4.672m,115.126371m,113.56622m
4.687m,115.132928m,113.291144m
4.703m,115.089417m,113.032758m
4.719m,115.112364m,112.74606m
4.734m,115.096271m,112.529099m
4.750m,115.065873m,112.378299m
4.766m,115.067661m,112.23197m
4.781m,115.065575m,112.138093m
4.797m,115.051866m,112.089217m
4.812m,115.006864m,112.097263m
4.828m,114.972293m,112.181902m
4.844m,114.926398m,112.330317m
4.859m,114.868879m,112.482905m
4.875m,114.808381m,112.679005m
4.891m,114.779472m,112.918913m
4.906m,114.737153m,113.16359m
4.922m,114.669204m,113.454759m
4.938m,114.590824m,113.753378m
4.953m,114.492178m,114.097297m
4.969m,114.430785m,114.477277m
4.984m,114.340782m,114.842653m
5.000m,114.212334m,115.202367m
5.016m,114.11339m,115.588605m
5.031m,114.05319m,115.924478m
5.047m,113.960505m,116.199553m
5.063m,113.847256m,116.452575m
5.078m,113.769472m,116.671324m
5.094m,113.665462m,116.893053m
5.109m,113.59483m,117.025673m
5.125m,113.541782m,117.108226m
5.141m,113.449395m,117.121041m
5.156m,113.424659m,117.058754m
5.172m,113.377571m,116.984546m
5.188m,113.295615m,116.817057m
