Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
7.313m,114.257336m,117.49953m
7.328m,114.240944m,116.772652m
7.344m,114.234686m,116.016865m
7.359m,114.263594m,115.295947m
7.375m,114.261508m,114.57175m
7.391m,114.260912m,113.842785m
7.406m,114.243925m,113.242269m
7.422m,114.230514m,112.677217m
7.438m,114.255846m,112.112463m
7.453m,114.233792m,111.694038m
7.469m,114.211142m,111.300051m
7.484m,114.233196m,110.894144m
7.500m,114.211142m,110.607445m
7.516m,114.220977m,110.376775m
7.531m,114.250481m,110.207796m
7.547m,114.230514m,110.114515m
7.562m,114.224255m,110.125244m
7.578m,114.232302m,110.220015m
7.594m,114.229023m,110.293627m
7.609m,114.21144m,110.505223m
7.625m,114.218891m,110.836923m
7.641m,114.212036m,111.18263m
7.656m,114.192367m,111.589432m
7.672m,114.196241m,112.009943m
7.687m,114.217997m,112.521052m
7.703m,114.224553m,113.108158m
7.719m,114.198029m,113.677084m
7.734m,114.209354m,114.255548m
7.750m,114.225149m,114.815235m
7.766m,114.232004m,115.384161m
7.781m,114.239156m,115.945339m
7.797m,114.251375m,116.443634m
7.812m,114.248693m,116.918385m
7.828m,114.251971m,117.389858m
7.844m,114.276409m,117.774606m
7.859m,114.28833m,118.004084m
7.875m,114.332139m,118.255019m
7.891m,114.334524m,118.504167m
7.906m,114.361346m,118.641555m
7.922m,114.392638m,118.750036m
7.938m,114.397109m,118.819773m
7.953m,114.44211m,118.865371m
7.969m,114.455223m,118.874609m
7.984m,114.503503m,118.78252m
8.000m,114.531219m,118.599832m
8.016m,114.571452m,118.381083m
8.031m,114.609897m,118.11018m
8.047m,114.629567m,117.809474m
8.063m,114.718974m,117.494166m
8.078m,114.745796m,117.10912m
8.094m,114.807189m,116.69904m
8.109m,114.865303m,116.286576m
8.125m,114.864707m,115.825236m
8.141m,114.96067m,115.270317m
8.156m,115.033984m,114.724934m
8.172m,115.07839m,114.274323m
8.188m,115.136206m,113.85113m
8.203m,115.171969m,113.46072m
8.219m,115.248263m,113.08521m
8.234m,115.296245m,112.746358m
8.250m,115.341246m,112.478137m
8.266m,115.410089m,112.316906m
8.281m,115.4387m,112.26505m
8.297m,115.481615m,112.20336m
8.313m,115.529299m,112.267733m
8.328m,115.54569m,112.506151m
8.344m,115.568042m,112.794042m
8.359m,115.588605m,113.193393m
8.375m,115.579665m,113.621354m
8.391m,115.578473m,114.1572m
8.406m,115.56685m,114.862025m
8.422m,115.544498m,115.502477m
8.438m,115.532577m,116.208792m
8.453m,115.504265m,116.944015m
8.469m,115.488768m,117.612183m
8.484m,115.463734m,118.337572m
8.500m,115.430355m,119.008422m
8.516m,115.392804m,119.626224m
8.531m,115.358233m,120.188296m
8.547m,115.332901m,120.617151m
8.563m,115.291774m,120.984018m
8.578m,115.280449m,121.309757m
8.594m,115.254521m,121.47218m
8.609m,115.239918m,121.462941m
8.625m,115.244091m,121.363699m
8.641m,115.239918m,121.19323m
8.656m,115.244985m,120.952725m
8.672m,115.23068m,120.582879m
8.688m,115.254521m,120.058358m
8.703m,115.269721m,119.542181m
8.719m,115.242898m,119.018853m
8.734m,115.258992m,118.456185m
8.750m,115.273893m,117.905736m
8.766m,115.2426m,117.253065m
8.781m,115.226209m,116.610825m
8.797m,115.233064m,115.954876m
8.813m,115.229189m,115.284026m
8.828m,115.226209m,114.635527m
8.844m,115.230083m,113.928914m
8.859m,115.23962m,113.292933m
8.875m,115.219057m,112.69629m
8.891m,115.192235m,112.164021m
8.906m,115.197301m,111.683309m
8.922m,115.181506m,111.187994m
8.938m,115.191638m,110.805035m
8.953m,115.184188m,110.54337m
8.969m,115.132332m,110.329092m
8.984m,115.134418m,110.165477m
9.000m,115.131736m,110.07309m
9.016m,115.101933m,110.050738m
9.031m,115.073621m,110.133886m
9.047m,115.028322m,110.339224m
9.062m,114.977658m,110.63993m
9.078m,114.925206m,110.92037m
9.094m,114.89749m,111.241937m
9.109m,114.85517m,111.664832m
9.125m,114.775598m,112.107098m
9.141m,114.740729m,112.619698m
9.156m,114.706457m,113.116205m
9.172m,114.670694m,113.592446m
9.187m,114.617646m,114.102364m
9.203m,114.561915m,114.615858m
9.219m,114.530623m,115.101337m
9.234m,114.459693m,115.54718m
9.250m,114.430785m,115.994215m
9.266m,114.395022m,116.390884m
9.281m,114.350319m,116.788149m
9.297m,114.336312m,117.10614m
9.312m,114.281476m,117.372274m
9.328m,114.243329m,117.673874m
9.344m,114.211142m,117.895305m
9.359m,114.160478m,118.095279m
9.375m,114.136636m,118.244588m
9.391m,114.096105m,118.394792m
9.406m,114.048421m,118.532181m
9.422m,114.017129m,118.605793m
9.437m,113.943517m,118.678212m
9.453m,113.866627m,118.674338m
9.469m,113.805234m,118.668079m
9.484m,113.74712m,118.665695m
9.500m,113.720596m,118.555129m
9.516m,113.667846m,118.387341m
9.531m,113.584399m,118.217468m
9.547m,113.54506m,117.999315m
9.562m,113.520324m,117.75285m
9.578m,113.447905m,117.513537m
9.594m,113.388002m,117.218494m
9.609m,113.351047m,116.863251m
9.625m,113.310218m,116.513669m
9.641m,113.283396m,116.113126m
9.656m,113.260448m,115.6196m
9.672m,113.245845m,115.115643m
9.687m,113.202333m,114.617646m
9.703m,113.168955m,114.146769m
9.719m,113.15614m,113.726556m
9.734m,113.161504m,113.307834m
9.750m,113.174319m,112.885833m
9.766m,113.142431m,112.535059m
9.781m,113.144219m,112.290382m
9.797m,113.124549m,112.063885m
9.813m,113.102794m,111.883581m
9.828m,113.111436m,111.845136m
9.844m,113.076866m,111.817122m
9.859m,113.075376m,111.850202m
9.875m,113.077164m,111.958086m
9.891m,113.057494m,112.047791m
9.906m,113.072693m,112.226903m
9.922m,113.071799m,112.438798m
9.938m,113.079548m,112.69182m
9.953m,113.081932m,113.026798m
9.969m,113.072991m,113.350153m
9.984m,113.089085m,113.659501m
10.000m,113.078654m,113.988221m
10.016m,113.1019m,114.287138m
10.031m,113.120377m,114.586651m
10.047m,113.145709m,114.90047m
10.063m,113.165081m,115.201175m
10.078m,113.147199m,115.512609m
10.094m,113.211572m,115.726292m
10.109m,113.236904m,115.922093m
10.125m,113.26313m,116.179883m
10.141m,113.322139m,116.387904m
10.156m,113.330781m,116.593838m
10.172m,113.363862m,116.782188m
10.188m,113.409758m,116.954148m
10.203m,113.453567m,117.146969m
10.219m,113.483369m,117.233098m
10.234m,113.534331m,117.253959m
10.250m,113.594234m,117.292404m
10.266m,113.632381m,117.333829m
10.281m,113.649666m,117.339492m
10.297m,113.695562m,117.243528m
10.313m,113.779008m,117.138922m
10.328m,113.818645m,117.045641m
10.344m,113.855898m,116.917193m
10.359m,113.881826m,116.749108m
10.375m,113.925636m,116.534531m
10.391m,113.969445m,116.405785m
10.406m,113.961995m,116.297007m
10.422m,114.008784m,116.049647m
10.438m,114.06064m,115.77189m
10.453m,114.111006m,115.519166m
10.469m,114.16018m,115.229487m
10.484m,114.173591m,114.959776m
10.500m,114.217103m,114.785731m
10.516m,114.244521m,114.645362m
10.531m,114.26717m,114.468932m
10.547m,114.298165m,114.330351m
10.563m,114.333332m,114.215612m
10.578m,114.386678m,114.029944m
10.594m,114.41201m,113.87229m
10.609m,114.432573m,113.761425m
10.625m,114.446878m,113.637447m
10.641m,114.499032m,113.51794m
10.656m,114.541054m,113.466084m
10.672m,114.536881m,113.468766m
10.688m,114.583671m,113.472044m
10.703m,114.574134m,113.575757m
10.719m,114.556253m,113.705695m
10.734m,114.589632m,113.841295m
10.750m,114.562809m,113.994777m
10.766m,114.54314m,114.089251m
10.781m,114.569366m,114.21442m
10.797m,114.57175m,114.350319m
10.813m,114.574432m,114.490688m
10.828m,114.572644m,114.724934m
10.844m,114.498138m,114.993155m
10.859m,114.472508m,115.251839m
10.875m,114.480853m,115.513504m
10.891m,114.452839m,115.684569m
10.906m,114.434063m,115.859807m
10.922m,114.426315m,116.037428m
10.938m,114.432573m,116.143227m
10.953m,114.398599m,116.236806m
10.969m,114.400983m,116.252601m
10.984m,114.406347m,116.253495m
11.000m,114.394128m,116.145909m
11.016m,114.428997m,115.952492m
11.031m,114.429593m,115.831792m
11.047m,114.436746m,115.742981m
11.062m,114.421248m,115.685761m
11.078m,114.398301m,115.611851m
11.094m,114.392936m,115.519464m
11.109m,114.367306m,115.44764m
11.125m,114.351809m,115.395486m
11.141m,114.331543m,115.287304m
11.156m,114.31843m,115.165114m
11.172m,114.304721m,115.081072m
11.187m,114.289224m,114.947855m
11.203m,114.267468m,114.801228m
11.219m,114.285052m,114.626288m
11.234m,114.309788m,114.356279m
11.250m,114.319623m,114.023089m
11.266m,114.361346m,113.622248m
11.281m,114.399195m,113.217235m
11.297m,114.462376m,112.82146m
11.312m,114.496052m,112.406611m
11.328m,114.54463m,112.054646m
11.344m,114.624202m,111.691952m
11.359m,114.639997m,111.308396m
11.375m,114.708841m,111.003518m
11.391m,114.771724m,110.739768m
11.406m,114.801824m,110.549033m
11.422m,114.872158m,110.456347m
11.437m,114.915371m,110.398829m
11.453m,114.954412m,110.481679m
11.469m,114.976764m,110.720694m
11.484m,114.987493m,110.978484m
11.500m,114.994645m,111.347437m
11.516m,114.999115m,111.905634m
11.531m,114.988089m,112.540722m
11.547m,114.962459m,113.21485m
11.562m,114.949048m,113.990307m
11.578m,114.904642m,114.803612m
11.594m,114.869475m,115.514398m
11.609m,114.864111m,116.204917m
11.625m,114.809573m,117.027164m
11.641m,114.744306m,117.823184m
11.656m,114.725828m,118.522644m
11.672m,114.639103m,119.228065m
11.687m,114.562213m,119.850039m
11.703m,114.534497m,120.422542m
11.719m,114.443004m,120.963752m
11.734m,114.364326m,121.401846m
11.750m,114.282668m,121.788383m
11.766m,114.207864m,122.101307m
11.781m,114.121139m,122.289956m
11.797m,114.00938m,122.406483m
11.813m,113.962591m,122.402608m
11.828m,113.883317m,122.250319m
11.844m,113.807619m,122.026205m
11.859m,113.739073m,121.709704m
11.875m,113.652945m,121.303499m
11.891m,113.584101m,120.833814m
11.906m,113.482773m,120.333433m
11.922m,113.425255m,119.752586m
11.938m,113.374591m,119.06594m
11.953m,113.309324m,118.364096m
11.969m,113.238096m,117.62023m
11.984m,113.168955m,116.809309m
12.000m,113.146305m,115.995407m
12.016m,113.097727m,115.147233m
12.031m,113.044679m,114.282668m
12.047m,113.013983m,113.487542m
12.063m,112.968981m,112.742186m
12.078m,112.941563m,112.03438m
12.094m,112.932622m,111.316144m
12.109m,112.903714m,110.704601m
12.125m,112.869442m,110.243261m
12.141m,112.836957m,109.791458m
12.156m,112.825334m,109.41565m
12.172m,112.821162m,109.113753m
12.188m,112.79583m,108.92421m
12.203m,112.789571m,108.84434m
12.219m,112.787187m,108.806789m
12.234m,112.779438m,108.860433m
12.250m,112.784207m,108.990371m
12.266m,112.794638m,109.198093m
12.281m,112.828314m,109.503269m
12.297m,112.820566m,110.006332m
12.313m,112.800896m,110.628009m
12.328m,112.803876m,111.213028m
12.344m,112.799704m,111.777484m
12.359m,112.833679m,112.375915m
12.375m,112.862885m,113.00981m
12.391m,112.891495m,113.624334m
12.406m,112.919807m,114.270449m
12.422m,112.947822m,114.92312m
12.438m,112.977028m,115.548968m
12.453m,113.019347m,116.124153m
12.469m,113.08223m,116.674602m
12.484m,113.140941m,117.21909m
12.500m,113.190114m,117.689073m
12.516m,113.204122m,118.075609m
12.531m,113.296509m,118.412971m
12.547m,113.367736m,118.819177m
12.563m,113.39277m,119.195282m
12.578m,113.461614m,119.483173m
12.594m,113.500357m,119.7052m
12.609m,113.558471m,119.844973m
12.625m,113.59781m,119.966269m
12.641m,113.632679m,119.974315m
12.656m,113.67619m,119.996071m
12.672m,113.730729m,120.023489m
12.688m,113.787353m,119.901001m
12.703m,113.808811m,119.667649m
12.719m,113.883615m,119.331479m
12.734m,113.922358m,119.027793m
12.750m,113.959312m,118.657053m
